Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-21T23:59:59+01:00;4;1521843;Oberösterreich;26657;1.75162615328914;36920;2.42600583634448
2021-01-21T23:59:59+01:00;5;568317;Salzburg;10115;1.77981654604736;14166;2.4926229551465098
2021-01-21T23:59:59+01:00;6;1264384;Steiermark;25968;2.05380643855031;33269;2.63124177465074
2021-01-21T23:59:59+01:00;7;769613;Tirol;12553;1.63107951658821;14200;1.84508317816877
2021-01-21T23:59:59+01:00;8;405542;Vorarlberg;10130;2.49789171035306;10438;2.57383945435984
2021-01-21T23:59:59+01:00;9;1973403;Wien;41209;2.08822019628023;51391;2.6041817104767797
2021-01-21T23:59:59+01:00;10;9090868;Österreich;166513;1.83165127906378;210362;2.31399245924592
2021-01-22T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-22T23:59:59+01:00;1;301203;Burgenland;4851;1.6105417276720402;5946;1.9740839234669
2021-01-22T23:59:59+01:00;2;568946;Kärnten;11850;2.08279871903485;14767;2.59550115476688
2021-01-22T23:59:59+01:00;3;1717617;Niederösterreich;25083;1.4603371997366101;31810;1.85198446452265
2021-01-22T23:59:59+01:00;4;1521843;Oberösterreich;26837;1.76345391738832;37650;2.47397399074675
2021-01-22T23:59:59+01:00;5;568317;Salzburg;10215;1.79741235965139;14154;2.49051145751403
2021-01-22T23:59:59+01:00;6;1264384;Steiermark;26013;2.05736548390362;33450;2.6455570459607203
2021-01-22T23:59:59+01:00;7;769613;Tirol;12923;1.6791556275686599;15863;2.06116580671065
2021-01-22T23:59:59+01:00;8;405542;Vorarlberg;10130;2.49789171035306;10810;2.6655685477706403
2021-01-22T23:59:59+01:00;9;1973403;Wien;41209;2.08822019628023;51547;2.6120868367991696
2021-01-22T23:59:59+01:00;10;9090868;Österreich;169111;1.8602294082369302;215312;2.36844270536103
2021-01-23T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-23T23:59:59+01:00;1;301203;Burgenland;4901;1.6271418279366399;6132;2.03583629645123
2021-01-23T23:59:59+01:00;2;568946;Kärnten;11850;2.08279871903485;14767;2.59550115476688
2021-01-23T23:59:59+01:00;3;1717617;Niederösterreich;25128;1.4629571085987199;31810;1.85198446452265
2021-01-23T23:59:59+01:00;4;1521843;Oberösterreich;26837;1.76345391738832;37650;2.47397399074675
2021-01-23T23:59:59+01:00;5;568317;Salzburg;10355;1.82204649869703;14154;2.49051145751403
2021-01-23T23:59:59+01:00;6;1264384;Steiermark;26013;2.05736548390362;33450;2.6455570459607203
2021-01-23T23:59:59+01:00;7;769613;Tirol;12923;1.6791556275686599;16157;2.09936682462484
2021-01-23T23:59:59+01:00;8;405542;Vorarlberg;10130;2.49789171035306;10810;2.6655685477706403
2021-01-23T23:59:59+01:00;9;1973403;Wien;41569;2.10646279548577;51547;2.6120868367991696
2021-01-23T23:59:59+01:00;10;9090868;Österreich;169706;1.8667744378204598;215792;2.37372272922674
2021-01-24T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-24T23:59:59+01:00;1;301203;Burgenland;4901;1.6271418279366399;6132;2.03583629645123
2021-01-24T23:59:59+01:00;2;568946;Kärnten;11850;2.08279871903485;14767;2.59550115476688
2021-01-24T23:59:59+01:00;3;1717617;Niederösterreich;25128;1.4629571085987199;31810;1.85198446452265
2021-01-24T23:59:59+01:00;4;1521843;Oberösterreich;26837;1.76345391738832;37650;2.47397399074675
2021-01-24T23:59:59+01:00;5;568317;Salzburg;10355;1.82204649869703;14154;2.49051145751403
2021-01-24T23:59:59+01:00;6;1264384;Steiermark;26013;2.05736548390362;33450;2.6455570459607203
2021-01-24T23:59:59+01:00;7;769613;Tirol;12923;1.6791556275686599;16157;2.09936682462484
2021-01-24T23:59:59+01:00;8;405542;Vorarlberg;10130;2.49789171035306;10810;2.6655685477706403
2021-01-24T23:59:59+01:00;9;1973403;Wien;41569;2.10646279548577;51547;2.6120868367991696
